ID,kidon,phylum,class,order,family,genus,s2003,s2005,s2006,s2007,s2015,s2017,s2019,s2021,s2023,s2050,s3013,s3016,s3017,s3029,s3037,s4001,s4005,s4007,s4016,s4018,s4028,s4029,s4032,s5001,s5010,s5011,s5014,s5026,s5030,s6010,s6011,s6016,s6017,s7005,s7006,s7011,s7012,s7014,s7022,s7025,s7033,s7039,s7041,s7064,s7065,s7067,s7071,s2002,s2004,s2008,s2014,s2033,s2047,s2051,s3009,s3012,s3018,s3020,s3021,s3025,s3026,s3039,s3041,s4023,s4030,s4033,s4034,s5007,s5009,s5012,s5020,s5022,s5028,s5032,s6001,s6006,s6013,s6022,s6025,s7002,s7010,s7013,s7015,s7036,s7038,s7042,s7046,s7047,s7048,s7049,s7050,s7056,s7057,s7058,s2009,s2012,s2013,s2024,s2027,s2037,s2041,s2042,s2044,s2045,s2048,s2049,s3002,s3007,s3010,s3040,s4003,s4010,s4012,s4013,s4014,s4015,s4019,s4022,s5004,s5017,s5018,s5019,s5021,s5024,s5025,s5034,s6008,s6009,s6012,s6018,s6019,s6020,s6026,s6031,s6032,s6033,s7019,s7052,s7068,s7070
s__Selenomonas_artemidis,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Selenomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Acidaminococcus_intestini,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Acidaminococcaceae,g__Acidaminococcus,0,0,0.000150549,0,0,0,0,0.00483225,0.0114,0,0,0,0,0,0,0.01849,0,0,0,0,0,0.000620031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236585,0,0,0,0.1195119,0,0,0,0,0,0.000510006,0,0,0,0,0,0.000870056,0,0.2113545,0,0,0,0,0,0,0,0,0,0,0.00264045,0,0,0,0,0,0,0,0,0,0.0100706,0,0,0,0,0,0,0,0,0,0,0,0,0.00327047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Lachnospiraceae_bacterium_6_1_63FAA,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnospiraceae_noname,0,0,0,0,0,0,0,0,0,0.0596806,0,0,0,0,0,0,0.0755,0,0,0,0,0.039832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05816,0,0.0697668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100001,0.0164819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000260055,0,0,0,0,0,0,0,0,0,0,0,0.02877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128007,0,0,0.0148953,0,0.00283051,0,0,0.0235447,0,0,0,0,0,0,0,0,0,0,0.000500024
s__Butyricicoccus_pullicaecorum,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Butyricicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Weissella_confusa,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,g__Weissella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00295072,0,0,0,0,0,0.00753224,0,0,0.0361067,0,0.00215,0,0,0,0,0,0,0.0113933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245311,0,0.00916015,0.000992876,0,0.0979142,0,0,0,0,0,0,0,0,0.1427394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Cronobacter_malonaticus,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Cronobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00443029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2902299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Clostridiaceae_bacterium_JC118,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridiaceae_noname,0,0,0.00415516,0,0,0,0,0,0,0,0,0,0,0.000300741,0,0,0,0,0.00634024,0,0,0,0,0,0,0,0,0,0.01614,0,0,0,0.0671644,0,0,0.02885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000370029,0,0,0.00041,0,0,0,0.000140022,0,0,0.0256574,0,0,0,0,0,0,0,0,0,0.00212,0.014951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03341,0,0,0,0,0,0,0,0.0860121,0,0,0,0,0.00161019,0,0,0,0,0,0,0,0,0,0,0,0.000780067,0,0,0,0,0.00389,0,0.0133227,0,0,0.02449,0,0,0,0,0,0.000140004,0.00127,0
s__Oscillibacter_sp_KLE_1745,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Oscillospiraceae,g__Oscillibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1597999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Cetobacterium_somerae,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Cetobacterium,0.2993015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Enterococcus_gallinarum,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,0,0,0,0,0,0,0,0,0,0,0,0,0.00239103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2255402,0,0,0,0,0.00153033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Pediococcus_unclassified,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Pediococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00454066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2656014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Anaerofustis_stercorihominis,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Anaerofustis,0,0,0,0,0,0,0,0.00284722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000130008,0,0,0,0,0,0,0,0.1471323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00875075,0,0.0368552,0,0,0,0.0626704,0,0,0,0.00018,0,0,0,0,0,0,0.00154,0.00302015
s__Weissella_cibaria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,g__Weissella,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00628445,0,0.04609,0,0,0,0,0.0197448,0,0,0.00156041,0,0,0.00447553,0,0,0,0,0,0,0,0,0,0,0.00819068,0,0.00675039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340229,0,0,0,0.000506569,0,0.0880697,0,0,0,0,0,0,0,0,0.0440285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
